Complaint,Category,Subcategory,Priority
The public restroom problems is not working Not working as it should.,Infrastructure,Public Restroom Problems,Critical
The public restroom problems needs attention.,Infrastructure,Public Restroom Problems,Low
There is an issue with the public restroom problems Needs attention.,Infrastructure,Public Restroom Problems,Medium
Something isn't right with the public restroom problems Not working as it should.,Infrastructure,Public Restroom Problems,Critical
Public Restroom Problems has minor problems Not working as it should.,Infrastructure,Public Restroom Problems,Low
There is an issue with the public restroom problems Please fix it.,Infrastructure,Public Restroom Problems,Critical
I saw a small problem in the public restroom problems Please fix it.,Infrastructure,Public Restroom Problems,High
Public Restroom Problems is not functioning well Might be dangerous.,Infrastructure,Public Restroom Problems,Low
Public Restroom Problems seems broken,Infrastructure,Public Restroom Problems,Medium
There is an issue with the public restroom problems Might be dangerous.,Infrastructure,Public Restroom Problems,Critical
Something isn't right with the public restroom problems,Infrastructure,Public Restroom Problems,Critical
I saw a small problem in the public restroom problems Can someone check?,Infrastructure,Public Restroom Problems,Medium
The public restroom problems is not working Can someone check?,Infrastructure,Public Restroom Problems,High
Reported a minor issue in public restroom problems Please fix it.,Infrastructure,Public Restroom Problems,Low
There is an issue with the homelessness and social services.,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services is not functioning well Needs quick inspection.,Community Services,Homelessness and Social Services,Critical
There is an issue with the homelessness and social services Needs attention.,Community Services,Homelessness and Social Services,High
Reported a minor issue in homelessness and social services.,Community Services,Homelessness and Social Services,Critical
The homelessness and social services is not working,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services has minor problems Needs attention.,Community Services,Homelessness and Social Services,Critical
There is an issue with the homelessness and social services Might be dangerous.,Community Services,Homelessness and Social Services,Low
The homelessness and social services is not working.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services is slightly malfunctioning Might be dangerous.,Community Services,Homelessness and Social Services,Low
I saw a small problem in the homelessness and social services Urgent check needed.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services is not functioning well Can someone check?,Community Services,Homelessness and Social Services,Critical
Homelessness and Social Services seems broken Please fix it.,Community Services,Homelessness and Social Services,Low
The homelessness and social services is not working Not working as it should.,Community Services,Homelessness and Social Services,Critical
Something isn't right with the homelessness and social services Needs quick inspection.,Community Services,Homelessness and Social Services,Low
Something isn't right with the homelessness and social services Needs urgent review.,Community Services,Homelessness and Social Services,High
Something isn't right with the homelessness and social services.,Community Services,Homelessness and Social Services,Low
The homelessness and social services is not working Please fix it.,Community Services,Homelessness and Social Services,Medium
I saw a small problem in the homelessness and social services Needs quick inspection.,Community Services,Homelessness and Social Services,Critical
Something isn't right with the homelessness and social services Urgent check needed.,Community Services,Homelessness and Social Services,Critical
The homelessness and social services needs attention Needs quick inspection.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services is slightly malfunctioning.,Community Services,Homelessness and Social Services,Critical
Homelessness and Social Services is slightly malfunctioning Please fix it.,Community Services,Homelessness and Social Services,Critical
Reported a minor issue in homelessness and social services Can someone check?,Community Services,Homelessness and Social Services,High
The homelessness and social services is not working Can someone check?,Community Services,Homelessness and Social Services,High
The homelessness and social services needs attention,Community Services,Homelessness and Social Services,Medium
There is an issue with the homelessness and social services Urgent check needed.,Community Services,Homelessness and Social Services,High
Homelessness and Social Services is slightly malfunctioning Needs urgent review.,Community Services,Homelessness and Social Services,High
Homelessness and Social Services is slightly malfunctioning,Community Services,Homelessness and Social Services,Critical
The homelessness and social services is not working Might be dangerous.,Community Services,Homelessness and Social Services,Medium
The homelessness and social services needs attention.,Community Services,Homelessness and Social Services,High
I saw a small problem in the homelessness and social services,Community Services,Homelessness and Social Services,Medium
The homelessness and social services needs attention Not working as it should.,Community Services,Homelessness and Social Services,High
Homelessness and Social Services seems broken Might be dangerous.,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services has minor problems Urgent check needed.,Community Services,Homelessness and Social Services,Low
Something isn't right with the homelessness and social services Needs attention.,Community Services,Homelessness and Social Services,Medium
The homelessness and social services needs attention Needs attention.,Community Services,Homelessness and Social Services,High
The homelessness and social services needs attention Needs urgent review.,Community Services,Homelessness and Social Services,Medium
Something isn't right with the homelessness and social services Can someone check?,Community Services,Homelessness and Social Services,High
I saw a small problem in the homelessness and social services Not working as it should.,Community Services,Homelessness and Social Services,Critical
The homelessness and social services is not working Urgent check needed.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services is not functioning well,Community Services,Homelessness and Social Services,Critical
Homelessness and Social Services is not functioning well Might be dangerous.,Community Services,Homelessness and Social Services,Low
Reported a minor issue in homelessness and social services Might be dangerous.,Community Services,Homelessness and Social Services,Critical
There is an issue with the homelessness and social services Needs quick inspection.,Community Services,Homelessness and Social Services,High
Something isn't right with the homelessness and social services Not working as it should.,Community Services,Homelessness and Social Services,Medium
Reported a minor issue in homelessness and social services Needs attention.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services is slightly malfunctioning Needs quick inspection.,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services is not functioning well Needs attention.,Community Services,Homelessness and Social Services,Medium
Reported a minor issue in homelessness and social services Not working as it should.,Community Services,Homelessness and Social Services,Critical
Reported a minor issue in homelessness and social services Please fix it.,Community Services,Homelessness and Social Services,Low
Reported a minor issue in homelessness and social services,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services is not functioning well Please fix it.,Community Services,Homelessness and Social Services,High
Homelessness and Social Services has minor problems Please fix it.,Community Services,Homelessness and Social Services,Low
Homelessness and Social Services seems broken Urgent check needed.,Community Services,Homelessness and Social Services,Medium
I saw a small problem in the homelessness and social services.,Community Services,Homelessness and Social Services,Medium
Homelessness and Social Services is slightly malfunctioning Needs attention.,Community Services,Homelessness and Social Services,High
